,time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,prev_close,open,high,low,volume,amount,open_interest
19732,2023-09-14 14:04:33,IF2309,IF2309,3721.4,1.0,1116420.0,0.0,2,3721.4,3721.6,1,3739.6,3740.0,3750.0,3717.4,48635.0,54496833660.0,53805
19733,2023-09-14 14:04:34,IF2309,IF2309,3721.4,2.0,2232840.0,0.0,1,3720.8,3721.6,1,3739.6,3740.0,3750.0,3717.4,48637.0,54499066500.0,53805
19734,2023-09-14 14:04:34,IF2309,IF2309,3721.4,0.0,0.0,0.0,3,3721.0,3722.0,65,3739.6,3740.0,3750.0,3717.4,48637.0,54499066500.0,53805
19735,2023-09-14 14:04:35,IF2309,IF2309,3721.4,0.0,0.0,0.0,3,3721.0,3721.8,4,3739.6,3740.0,3750.0,3717.4,48637.0,54499066500.0,53805
19736,2023-09-14 14:04:36,IF2309,IF2309,3721.4,0.0,0.0,0.0,3,3721.0,3721.8,3,3739.6,3740.0,3750.0,3717.4,48637.0,54499066500.0,53805
19737,2023-09-14 14:04:37,IF2309,IF2309,3721.4,1.0,1116420.0,0.0,4,3721.0,3721.8,3,3739.6,3740.0,3750.0,3717.4,48638.0,54500182920.0,53805
19738,2023-09-14 14:04:37,IF2309,IF2309,3721.0,5.0,5581740.0,-1.0,1,3720.8,3721.0,1,3739.6,3740.0,3750.0,3717.4,48643.0,54505764660.0,53804
19739,2023-09-14 14:04:38,IF2309,IF2309,3721.0,1.0,1116300.0,0.0,5,3721.0,3721.8,2,3739.6,3740.0,3750.0,3717.4,48644.0,54506880960.0,53804
19740,2023-09-14 14:04:38,IF2309,IF2309,3721.8,2.0,2233080.0,-1.0,4,3721.0,3721.8,1,3739.6,3740.0,3750.0,3717.4,48646.0,54509114040.0,53803
19741,2023-09-14 14:04:39,IF2309,IF2309,3721.8,0.0,0.0,0.0,1,3721.4,3722.0,65,3739.6,3740.0,3750.0,3717.4,48646.0,54509114040.0,53803
19742,2023-09-14 14:04:39,IF2309,IF2309,3721.8,1.0,1116540.0,0.0,3,3721.6,3721.8,6,3739.6,3740.0,3750.0,3717.4,48647.0,54510230580.0,53803
19743,2023-09-14 14:04:40,IF2309,IF2309,3721.4,4.0,4465860.0,2.0,1,3721.4,3721.8,5,3739.6,3740.0,3750.0,3717.4,48651.0,54514696440.0,53805
19744,2023-09-14 14:04:40,IF2309,IF2309,3721.4,1.0,1116420.0,-1.0,1,3721.2,3721.8,5,3739.6,3740.0,3750.0,3717.4,48652.0,54515812860.0,53804
